ID,sex,age,worktime,edu,marriage,RL,WM,WD,HL,HW,OC
364,1,32,6,3,3,-0.0002849,0.391452991,0.22794397,0.09002849,0.277492877,0.288509022
365,2,35,9,4,4,0.4997151,0.391452991,0.464055081,-0.90997151,-0.389173789,0.510731244
366,1,35,7,4,4,0.833048433,1.058119658,1.033499525,0.59002849,0.777492877,0.844064577
367,2,37,9,3,4,0.7497151,0.724786325,0.964055081,1.09002849,1.110826211,0.732953466
368,2,37,8,3,4,0.833048433,0.724786325,0.880721747,1.09002849,1.110826211,0.399620133
369,2,31,4,5,3,0.9997151,1.391452991,1.033499525,0.256695157,0.610826211,0.732953466
370,2,33,7,4,4,0.4997151,0.391452991,0.575166192,-0.90997151,-0.222507123,0.621842355
371,2,31,3,3,1,-0.0002849,0.391452991,0.186277303,-2.90997151,-2.389173789,-0.378157645
372,2,30,6,3,4,0.916381766,1.058119658,0.991832858,1.256695157,1.110826211,0.844064577
373,1,27,3,3,1,1.083048433,0.724786325,1.130721747,1.256695157,0.610826211,0.955175689
374,2,31,6,3,4,-0.083618234,1.058119658,0.019610636,0.256695157,0.444159544,0.177397911
375,1,28,4,3,4,0.583048433,0.724786325,0.769610636,0.923361823,0.610826211,1.0662868
376,1,30,6,3,4,0.916381766,1.058119658,0.825166192,1.09002849,0.277492877,0.844064577
377,1,31,6,3,4,0.833048433,0.724786325,0.908499525,0.756695157,0.610826211,0.732953466
378,1,29,6,3,3,0.7497151,0.724786325,0.769610636,0.923361823,0.110826211,0.844064577
379,1,30,5,3,3,0.916381766,0.391452991,0.866832858,0.923361823,0.277492877,1.177397911
380,1,36,8,4,4,1.2497151,0.391452991,0.936277303,1.256695157,1.277492877,1.0662868
381,1,35,8,4,4,0.916381766,0.391452991,1.255721747,0.59002849,0.944159544,1.0662868
382,1,34,6,4,4,1.166381766,0.391452991,1.144610636,1.256695157,1.110826211,1.288509022
383,2,31,6,3,4,0.166381766,0.724786325,-0.008167142,0.09002849,0.110826211,0.0662868
384,1,32,7,3,4,0.7497151,0.724786325,0.658499525,0.923361823,1.110826211,0.621842355
385,1,32,5,4,4,0.9997151,1.058119658,0.616832858,1.09002849,0.610826211,1.0662868
386,2,31,8,3,4,0.583048433,0.391452991,0.464055081,0.256695157,0.777492877,0.0662868
387,2,26,6,4,4,0.583048433,0.724786325,0.436277303,0.256695157,1.110826211,0.399620133
388,2,32,3,3,4,0.583048433,-0.275213675,0.519610636,0.59002849,0.444159544,0.732953466
389,2,31,33,3,4,0.4997151,0.058119658,0.519610636,0.256695157,0.444159544,0.621842355
390,1,31,7,3,4,0.2497151,-0.275213675,0.380721747,0.256695157,-0.055840456,0.510731244
391,2,31,8,3,4,0.7497151,1.058119658,0.741832858,0.756695157,1.110826211,1.0662868
392,2,30,6,3,4,0.083048433,0.058119658,0.408499525,0.59002849,0.444159544,0.0662868
393,2,31,7,3,4,0.166381766,0.058119658,0.380721747,0.423361823,0.277492877,0.399620133
394,2,31,7,3,4,0.083048433,-0.275213675,0.158499525,0.09002849,0.110826211,0.177397911
395,2,30,6,3,4,0.166381766,0.724786325,0.380721747,0.09002849,0.277492877,0.510731244
396,2,31,6,3,4,0.9997151,0.724786325,0.880721747,0.59002849,0.777492877,0.955175689
397,1,30,5,3,4,-0.416951567,0.724786325,0.061277303,-0.076638177,0.110826211,0.0662868
398,1,30,4,3,3,0.9997151,0.391452991,0.880721747,0.59002849,0.444159544,0.510731244
399,1,41,18,3,4,-0.0002849,0.724786325,0.061277303,0.09002849,0.444159544,0.399620133
400,2,31,6,3,4,0.7497151,0.724786325,0.700166192,1.09002849,0.777492877,0.732953466
401,1,30,5,3,4,0.916381766,1.391452991,0.825166192,1.423361823,0.610826211,0.955175689
402,1,29,4,3,3,0.9997151,0.391452991,0.839055081,0.923361823,0.444159544,0.288509022
